Class,URL
['jellyfish'],http://www.mufoncms.com/files_jeud8334j/91189_submitter_file2__image.jpeg
"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/files_jeud8334j/91189_submitter_file3__image.jpeg
['volcano'],http://www.mufoncms.com/files_jeud8334j/91189_submitter_file4__image.jpeg
['volcano'],http://www.mufoncms.com/files_jeud8334j/91189_submitter_file5__image.jpeg
['ping-pong ball'],http://www.mufoncms.com/files_jeud8334j/91178_submitter_file1__20171006184101.jpg
['wing'],http://www.mufoncms.com/files_jeud8334j/91176_submitter_file1__IMG20180324074428.jpg
"['flagpole, flagstaff']",http://www.mufoncms.com/files_jeud8334j/91159_submitter_file1__01c406177bab83de4911e2bd57ec61c5180f3ff4a8.jpg
"['solar dish, solar collector, solar furnace']",http://www.mufoncms.com/files_jeud8334j/91159_submitter_file2__017233ef8d465922e9b6cc75d67867faa4e28c1526.jpg
['fountain'],http://www.mufoncms.com/files_jeud8334j/91156_submitter_file1__8599265AB24C43ABA17EA02A270701C8.jpeg
['kite'],http://www.mufoncms.com/files_jeud8334j/91154_submitter_file2__IMG2007.PNG
['kite'],http://www.mufoncms.com/files_jeud8334j/91154_submitter_file3__IMG2010.PNG
['wing'],http://www.mufoncms.com/files_jeud8334j/91154_submitter_file4__IMG2047.PNG
['wing'],http://www.mufoncms.com/files_jeud8334j/91154_submitter_file5__IMG2052.PNG
"['hook, claw']",http://www.mufoncms.com/files_jeud8334j/91154_submitter_file6__IMG2055.PNG
['bubble'],http://www.mufoncms.com/files_jeud8334j/91145_submitter_file1__551418D22AF54116A5144DD813224F1D.jpeg
['wing'],http://www.mufoncms.com/files_jeud8334j/91145_submitter_file2__10AB009BA6324A458EF29FFFA1623035.jpeg
['airliner'],http://www.mufoncms.com/files_jeud8334j/91137_submitter_file1__08A875374F2748048588C0927FCC9CD2.jpeg
"['valley, vale']",http://www.mufoncms.com/files_jeud8334j/91131_submitter_file1__DSC0235.JPG
['rapeseed'],http://www.mufoncms.com/files_jeud8334j/91131_submitter_file2__DSC0123.JPG
"['parachute, chute']",http://www.mufoncms.com/files_jeud8334j/91131_submitter_file3__DSC01232.JPG
['missile'],http://www.mufoncms.com/files_jeud8334j/91119_submitter_file1__8996A574AF974A2D860FBE268316424E.jpeg
"['racket, racquet']",http://www.mufoncms.com/files_jeud8334j/91119_submitter_file2__153D320F8B47445495D62FFFB23F32CD.jpeg
"['radio telescope, radio reflector']",http://www.mufoncms.com/files_jeud8334j/91082_submitter_file1__D2EBEDA9DF854ECEA99A1E5B6A80272F.jpeg
"['lakeside, lakeshore']",http://www.mufoncms.com/files_jeud8334j/91082_submitter_file2__114AC76BDD4F467987291036E310EE8B.jpeg
['water tower'],http://www.mufoncms.com/files_jeud8334j/91082_submitter_file3__1C7AFCCC7CA249CEB7C6B41990F4456E.jpeg
